ts_code,display_name,tushare_name,fullname,market,publisher,index_type,category,list_date,exp_date,observation_start_date,first_data_trade_date_all,continuity_start_floor,first_data_trade_date_for_continuity,last_data_trade_date,as_of_trade_date,observed_trade_days,expected_trade_days,missing_trade_days,first_missing_trade_date,last_missing_trade_date
000046.SH,上证中小,上证中小,上证中小盘指数,SSE,中证指数有限公司,,规模指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000047.SH,上证全指,上证全指,上证全指,SSE,中证指数有限公司,,规模指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000928.SH,800能源,800能源,中证能源指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000929.CSI,800材料,800材料,中证原材料指数,CSI,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000929.SH,800材料,800材料,中证原材料指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000930.CSI,800工业,800工业,中证工业指数,CSI,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000930.SH,800工业,800工业,中证工业指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000932.SH,800消费,800消费,中证主要消费指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000933.SH,800医卫,800医卫,中证医药卫生指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000934.SH,800金地,800金地,中证金融地产指数,SSE,中证指数有限公司,,主题指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000935.SH,800信息,800信息,中证信息技术指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000936.CSI,800通信,800通信,中证通信服务指数,CSI,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000936.SH,800通信(SH),800通信(SH),中证通信服务指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000937.CSI,800公用,800公用,中证公用事业指数,CSI,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
000937.SH,800公用(SH),800公用(SH),中证公用事业指数,SSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
399928.SZ,800能源,800能源,中证能源指数,SZSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
399932.SZ,800消费,800消费,中证主要消费指数,SZSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
399933.SZ,800医卫,800医卫,中证医药卫生指数,SZSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
399934.SZ,800金地,800金地,中证金融地产指数,SZSE,中证指数有限公司,,主题指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
399935.SZ,800信息,800信息,中证信息技术指数,SZSE,中证指数有限公司,,一级行业指数,2009-07-03,,2000-01-01,2005-01-04,2009-07-03,2009-07-03,2026-05-22,2026-05-22,4100,4100,0,,
931461.CSI,电子50,电子50,中证电子50指数,CSI,中证指数有限公司,,主题指数,2009-07-22,,2000-01-01,2009-01-05,2009-07-22,2009-07-22,2026-05-22,2026-05-22,4087,4087,0,,
399335.SZ,深证央企,深证央企,深证央企指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399337.SZ,深证民营,深证民营,深证民营指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399339.SZ,深证科技,深证科技,深证科技指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399341.SZ,深证责任,深证责任,深证责任指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399359.SZ,国证基建,国证基建,国证基建指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399360.SZ,新硬件,新硬件,国证新硬件,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399361.SZ,在线消费,在线消费,国证在线消费指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399362.SZ,民企100,民企100,国证民企领先100指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
399363.SZ,国证算力,国证算力,国证算力基础设施主题指数,SZSE,深圳证券交易所,,主题指数,2009-08-03,,2000-01-01,2009-08-03,2009-08-03,2009-08-03,2026-05-22,2026-05-22,4079,4079,0,,
