probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK1252.DC,20250102,1750.93,1754.11,1809.3,1730.51,-5.19,-0.3,1765590.0,2539530961.0,4.49,2.91,行业板块
explicit_idx_type,行业板块,BK1253.DC,20250102,1282.5,1285.38,1296.6,1266.94,-3.56,-0.28,370539.0,1099555598.0,2.31,2.22,行业板块
explicit_idx_type,行业板块,BK1254.DC,20250102,2994.74,3062.36,3094.05,2966.99,-49.17,-1.62,994343.0,978620245.0,4.17,1.64,行业板块
explicit_idx_type,行业板块,BK1255.DC,20250102,2915.36,2904.74,3000.76,2863.3,-3.44,-0.12,3287949.0,1028423773.0,4.71,12.71,行业板块
explicit_idx_type,行业板块,BK1256.DC,20250102,1891.45,1873.39,1939.25,1873.39,19.56,1.04,3046989.0,2483069665.0,3.52,2.21,行业板块
explicit_idx_type,行业板块,BK1257.DC,20250102,2393.16,2424.77,2478.0,2375.61,-33.38,-1.38,322456.0,168660530.0,4.22,1.64,行业板块
explicit_idx_type,行业板块,BK1258.DC,20250102,3424.08,3429.99,3517.85,3398.8,-12.45,-0.36,2772057.0,2523753012.0,3.46,1.88,行业板块
explicit_idx_type,行业板块,BK1259.DC,20250102,3533.73,3591.92,3656.94,3508.8,-60.84,-1.69,4737400.0,4316770421.0,4.12,1.33,行业板块
explicit_idx_type,行业板块,BK1260.DC,20250102,967.52,959.66,992.28,959.66,3.42,0.35,1927370.0,757807038.0,3.38,4.28,行业板块
explicit_idx_type,行业板块,BK1261.DC,20250102,2007.27,2022.22,2075.11,1991.34,-19.25,-0.95,5164462.0,3772555593.0,4.13,2.73,行业板块
explicit_idx_type,行业板块,BK1262.DC,20250102,4922.5,5108.01,5108.01,4895.59,-198.29,-3.87,5714965.0,15460424789.0,4.15,1.23,行业板块
explicit_idx_type,行业板块,BK1263.DC,20250102,2798.79,2850.39,2886.83,2780.02,-63.58,-2.22,2685303.0,3588274828.0,3.73,2.46,行业板块
explicit_idx_type,行业板块,BK1264.DC,20250102,2622.62,2671.95,2703.83,2606.31,-57.08,-2.13,4668037.0,6141540346.0,3.64,1.74,行业板块
explicit_idx_type,行业板块,BK1265.DC,20250102,2794.55,2809.58,2862.98,2771.72,-17.44,-0.62,6452512.0,5178085048.0,3.25,2.4,行业板块
explicit_idx_type,行业板块,BK1266.DC,20250102,2658.45,2612.69,2718.03,2612.61,43.29,1.66,3072659.0,3885190173.0,4.03,3.68,行业板块
explicit_idx_type,行业板块,BK1267.DC,20250102,2250.01,2261.36,2312.84,2233.88,-21.89,-0.96,7966735.0,3741770094.0,3.48,3.01,行业板块
