group_id,row_index,probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type-000058,1,explicit_idx_type,行业板块,BK0470.DC,20250107,8365.43,8210.64,8365.43,8144.54,186.94,2.29,8267543.0,5280451258.0,2.7,2.63,行业板块
explicit_idx_type-000058,2,explicit_idx_type,概念板块,BK0470.DC,20250107,8365.43,8210.64,8365.43,8144.54,186.94,2.29,8267543.0,5280451258.0,2.7,2.62,概念板块
explicit_idx_type-000059,1,explicit_idx_type,行业板块,BK0470.DC,20250108,8342.96,8323.9,8386.47,8104.39,-22.47,-0.27,8439053.0,5712825547.0,3.37,2.68,行业板块
explicit_idx_type-000059,2,explicit_idx_type,概念板块,BK0470.DC,20250108,8342.96,8323.9,8386.47,8104.39,-22.47,-0.27,8439052.0,5712825547.0,3.37,2.68,概念板块
explicit_idx_type-000060,1,explicit_idx_type,行业板块,BK0470.DC,20250109,8397.67,8303.2,8443.74,8286.93,54.71,0.66,7594115.0,4964744684.0,1.88,2.41,行业板块
explicit_idx_type-000060,2,explicit_idx_type,概念板块,BK0470.DC,20250109,8397.67,8303.2,8443.74,8286.93,54.71,0.66,7594114.0,4964744684.0,1.88,2.41,概念板块
explicit_idx_type-000061,1,explicit_idx_type,行业板块,BK0470.DC,20250110,8173.97,8397.63,8465.52,8173.97,-223.7,-2.66,8262891.0,5367814410.0,3.47,2.63,行业板块
explicit_idx_type-000061,2,explicit_idx_type,概念板块,BK0470.DC,20250110,8173.97,8397.63,8465.52,8173.97,-223.7,-2.66,8262890.0,5367814410.0,3.47,2.62,概念板块
explicit_idx_type-000062,1,explicit_idx_type,行业板块,BK0470.DC,20250113,8229.2,8061.15,8241.31,8022.99,55.23,0.68,6189357.0,4116307378.0,2.67,1.97,行业板块
explicit_idx_type-000062,2,explicit_idx_type,概念板块,BK0470.DC,20250113,8229.2,8061.15,8241.31,8022.99,55.23,0.68,6189356.0,4116307378.0,2.67,1.96,概念板块
explicit_idx_type-000063,1,explicit_idx_type,行业板块,BK0470.DC,20250114,8602.71,8275.13,8602.71,8275.13,373.51,4.54,7942947.0,5809293803.0,3.98,2.52,行业板块
explicit_idx_type-000063,2,explicit_idx_type,概念板块,BK0470.DC,20250114,8602.71,8275.13,8602.71,8275.13,373.51,4.54,7942947.0,5809293803.0,3.98,2.52,概念板块
explicit_idx_type-000064,1,explicit_idx_type,行业板块,BK0470.DC,20250115,8561.17,8606.58,8690.26,8537.86,-41.54,-0.48,6329218.0,5164601143.0,1.77,2.01,行业板块
explicit_idx_type-000064,2,explicit_idx_type,概念板块,BK0470.DC,20250115,8561.17,8606.58,8690.26,8537.86,-41.54,-0.48,6329218.0,5164601143.0,1.77,2.01,概念板块
explicit_idx_type-000065,1,explicit_idx_type,行业板块,BK0470.DC,20250116,8586.5,8586.16,8688.93,8488.4,25.33,0.3,7223280.0,4710109459.0,2.34,2.3,行业板块
explicit_idx_type-000065,2,explicit_idx_type,概念板块,BK0470.DC,20250116,8586.5,8586.16,8688.93,8488.4,25.33,0.3,7223280.0,4710109459.0,2.34,2.29,概念板块
explicit_idx_type-000066,1,explicit_idx_type,行业板块,BK0470.DC,20250117,8549.59,8554.97,8593.42,8486.19,-36.91,-0.43,5946856.0,3939181232.0,1.25,1.89,行业板块
explicit_idx_type-000066,2,explicit_idx_type,概念板块,BK0470.DC,20250117,8549.59,8554.97,8593.42,8486.19,-36.91,-0.43,5946855.0,3939181232.0,1.25,1.89,概念板块
explicit_idx_type-000067,1,explicit_idx_type,行业板块,BK0470.DC,20250120,8629.93,8587.15,8661.82,8485.74,80.34,0.94,7837734.0,4605421673.0,2.06,2.49,行业板块
explicit_idx_type-000067,2,explicit_idx_type,概念板块,BK0470.DC,20250120,8629.93,8587.15,8661.82,8485.74,80.34,0.94,7837733.0,4605421673.0,2.06,2.49,概念板块
explicit_idx_type-000068,1,explicit_idx_type,行业板块,BK0470.DC,20250121,8587.14,8673.73,8683.48,8498.18,-42.79,-0.5,6713964.0,5007683011.0,2.15,2.13,行业板块
explicit_idx_type-000068,2,explicit_idx_type,概念板块,BK0470.DC,20250121,8587.14,8673.73,8683.48,8498.18,-42.79,-0.5,6713964.0,5007683011.0,2.15,2.13,概念板块
explicit_idx_type-000069,1,explicit_idx_type,行业板块,BK0470.DC,20250122,8460.96,8568.76,8568.76,8436.9,-126.18,-1.47,5105117.0,4138885303.0,1.54,1.62,行业板块
explicit_idx_type-000069,2,explicit_idx_type,概念板块,BK0470.DC,20250122,8460.96,8568.76,8568.76,8436.9,-126.18,-1.47,5105117.0,4138885303.0,1.54,1.62,概念板块
explicit_idx_type-000070,1,explicit_idx_type,行业板块,BK0470.DC,20250123,8429.42,8540.56,8626.95,8429.42,-31.54,-0.37,5617809.0,4081663052.0,2.33,1.79,行业板块
explicit_idx_type-000070,2,explicit_idx_type,概念板块,BK0470.DC,20250123,8429.42,8540.56,8626.95,8429.42,-31.54,-0.37,5617808.0,4081663052.0,2.33,1.78,概念板块
explicit_idx_type-000071,1,explicit_idx_type,行业板块,BK0470.DC,20250124,8455.43,8362.69,8460.06,8326.61,26.01,0.31,5666391.0,3762527709.0,1.58,1.8,行业板块
explicit_idx_type-000071,2,explicit_idx_type,概念板块,BK0470.DC,20250124,8455.43,8362.69,8460.06,8326.61,26.01,0.31,5666390.0,3762527709.0,1.58,1.8,概念板块
explicit_idx_type-000072,1,explicit_idx_type,行业板块,BK0470.DC,20250127,8482.06,8483.84,8608.15,8481.5,26.63,0.31,5989942.0,4226260547.0,1.5,1.9,行业板块
explicit_idx_type-000072,2,explicit_idx_type,概念板块,BK0470.DC,20250127,8482.06,8483.84,8608.15,8481.5,26.63,0.31,5989942.0,4226260547.0,1.5,1.9,概念板块
