ts_code,phase,view,trend,volatility,metric,n_low,n_high,effect_high_minus_low,ci95_low,ci95_high,bootstrap_valid_fraction,p_approximate,holm_p
000905.SH,V1,volume,down,low,mean_abs_return,111,34,-0.0010694412693602329,-0.004124330764586887,0.002199443894297051,1.0,0.4814518548145185,
000905.SH,V1,volume,down,high,up_rate,85,25,0.1623529411764706,-0.0757575757575758,0.37041066983172577,1.0,0.14438556144385561,
000905.SH,V1,volume,down,high,mean_abs_return,85,25,0.0033385279894141973,-0.007199275613470719,0.015673296508535054,1.0,0.577942205779422,
000905.SH,V1,volume,up,low,up_rate,52,172,0.09302325581395354,-0.03171853109563077,0.2501156526338787,1.0,0.2176782321767823,
000905.SH,V1,volume,up,low,mean_abs_return,52,172,-0.0027238167480043256,-0.00616915508035267,-0.00016835121965533135,1.0,0.0822917708229177,
000905.SH,V1,volume,up,high,up_rate,42,75,0.08952380952380945,-0.09105323976938702,0.2784146756021755,1.0,0.34126587341265874,
000905.SH,V1,volume,up,high,mean_abs_return,42,75,-0.0025567517065189817,-0.009737691762363523,0.002725879836000674,1.0,0.40205979402059794,
000905.SH,V2,amount,down,low,up_rate,102,40,0.021568627450980316,-0.1785814667538872,0.2026621168432269,1.0,0.8207179282071793,1.0
000905.SH,V2,amount,down,low,mean_abs_return,102,40,0.00036573830445125327,-0.004188315161306818,0.00606484573133718,1.0,0.8893110688931107,1.0
000905.SH,V2,amount,down,high,up_rate,56,15,0.17976190476190468,-0.16012678944480285,0.4444444444444444,0.9995,0.22969187675070027,1.0
000905.SH,V2,amount,down,high,mean_abs_return,56,15,0.0006303495030949569,-0.0043215058768666225,0.005125180694387199,0.9995,0.7786114445778312,1.0
000905.SH,V2,amount,up,low,up_rate,37,161,0.06849085109954672,-0.12653290693362992,0.22944139194139188,1.0,0.44825517448255175,1.0
000905.SH,V2,amount,up,low,mean_abs_return,37,161,-0.0011776969589065121,-0.004722910909779588,0.002245823041961152,1.0,0.5006499350064993,1.0
000905.SH,V2,amount,up,high,up_rate,20,64,-0.006249999999999978,-0.27679315476190475,0.24019666720497393,1.0,0.9655034496550345,1.0
000905.SH,V2,amount,up,high,mean_abs_return,20,64,-0.002898237016392075,-0.008537077352633322,0.0013457218313329708,1.0,0.22627737226277372,1.0
000905.SH,V2,volume,down,low,up_rate,106,52,0.05841799709724238,-0.09675294965779313,0.17889473684210516,1.0,0.40785921407859216,
000905.SH,V2,volume,down,low,mean_abs_return,106,52,0.0008748142986612795,-0.002971450114422308,0.005443093580334185,1.0,0.6628337166283371,
000905.SH,V2,volume,down,high,up_rate,59,19,0.19446922390722565,-0.0714285714285714,0.4512686860739575,0.9996,0.14404321296388917,
000905.SH,V2,volume,down,high,mean_abs_return,59,19,0.0044530879547435495,-0.0005924221636673358,0.009305038522002386,0.9996,0.07502250675202561,
000905.SH,V2,volume,up,low,up_rate,56,152,0.06860902255639101,-0.08076230019266785,0.20671164036883993,1.0,0.3595640435956404,
000905.SH,V2,volume,up,low,mean_abs_return,56,152,-0.0009118919895787034,-0.0036934939973135386,0.0018424642893831388,1.0,0.5296470352964704,
000905.SH,V2,volume,up,high,up_rate,31,63,0.07168458781362008,-0.1663245614035088,0.269288731245923,1.0,0.5182481751824818,
000905.SH,V2,volume,up,high,mean_abs_return,31,63,5.760618454141338e-05,-0.004063576935330818,0.0039597502144306,1.0,0.9767023297670233,
