ts_code,phase,view,group,trend,volatility,activity,n,coverage,negative_days,mean_loss_on_negative_days,enough_samples,up_rate,up_rate_ci95_low,up_rate_ci95_high,up_rate_valid_fraction,mean_return,mean_return_ci95_low,mean_return_ci95_high,mean_return_valid_fraction,mean_abs_return,mean_abs_return_ci95_low,mean_abs_return_ci95_high,mean_abs_return_valid_fraction,mean_downside,mean_downside_ci95_low,mean_downside_ci95_high,mean_downside_valid_fraction
000001.SH,V2,volume,2,down,high,low,66,0.07021276595744681,26,0.011057898989960983,True,0.6060606060606061,0.48148148148148145,0.7541055507621511,1.0,0.003433161271354396,0.00034536350582609385,0.007338743774740355,1.0,0.012145445324050928,0.009997715829005467,0.014403046508399927,1.0,0.004356142026348266,0.0022325610332571194,0.006114107758494029,1.0
000001.SH,V2,volume,3,down,high,high,39,0.04148936170212766,13,0.0168865129547043,False,0.6666666666666666,0.52,0.8,1.0,0.0018506835005122695,-0.002809963462147133,0.005560968971376874,1.0,0.013108358803648471,0.010053606719218547,0.0160746258503561,1.0,0.005628837651568101,0.0031475724655235593,0.00856639727218267,1.0
000001.SH,V2,volume,4,up,low,low,44,0.04680851063829787,25,0.00722956452553249,False,0.4318181818181818,0.2806842105263158,0.6176470588235294,1.0,-0.00011732287178365588,-0.003214120139242622,0.0037304738364239004,1.0,0.008098091361775993,0.006117325047782834,0.010408736189473255,1.0,0.004107707116779824,0.002485690809814517,0.005619517615724,1.0
000001.SH,V2,volume,5,up,low,high,158,0.16808510638297872,66,0.006326947366793574,True,0.5822784810126582,0.4807692307692308,0.654930607034017,1.0,0.002117298684341805,-3.928270748419147e-05,0.004265933890346047,1.0,0.007403102813561752,0.005958039642316956,0.00936862009854792,1.0,0.002642902064609974,0.0018548303352505964,0.0037977779839047303,1.0
000001.SH,V2,volume,6,up,high,low,41,0.043617021276595745,21,0.009382045210423608,False,0.4878048780487805,0.3793103448275862,0.6153846153846154,1.0,-0.0006471465499931535,-0.0034787897326822572,0.002883936284966595,1.0,0.008963729031416396,0.00728209251772464,0.011131172275124808,1.0,0.004805437790704774,0.0033400205739448504,0.006447256588461388,1.0
000001.SH,V2,volume,7,up,high,high,61,0.06489361702127659,29,0.009301822938555002,True,0.5245901639344263,0.41537735849056606,0.6226415094339622,1.0,-5.90878369372504e-05,-0.002315263741141833,0.0017127477495382157,1.0,0.008785268399721604,0.006383244074325492,0.011021702975847841,1.0,0.004422178118329427,0.0027527465482748807,0.0062403084879836075,1.0
000300.SH,D,amount,0,down,low,low,142,0.15122470713525027,82,0.012535563119314924,True,0.4225352112676056,0.36134453781512604,0.5,1.0,-0.0031461761641377087,-0.005555730634432942,-0.00042922785900359776,1.0,0.011331516452535873,0.009836596010786838,0.013268333367132859,1.0,0.007238846308336787,0.005481126277191518,0.00916613935066509,1.0
000300.SH,D,amount,1,down,low,high,35,0.03727369542066028,14,0.008875509586226666,False,0.6,0.4318181818181818,0.7727272727272727,1.0,0.002451548027187392,-0.0018848996414384958,0.007587908358328092,1.0,0.009551955696168726,0.007497975288683233,0.0122153135634579,1.0,0.0035502038344906663,0.0015070653252565547,0.00563042443064345,1.0
000300.SH,D,amount,2,down,high,low,107,0.11395101171458999,48,0.013048289307029707,True,0.5514018691588785,0.445235198702352,0.6585365853658537,1.0,0.0013984927366367198,-0.0014343454622280784,0.00397095613757488,1.0,0.013105369124252158,0.0117280024017563,0.015095092859585747,1.0,0.005853438193807719,0.004618665914249148,0.007452511721559354,1.0
000300.SH,D,amount,3,down,high,high,34,0.0362087326943557,18,0.008960286018021532,False,0.47058823529411764,0.2972972972972973,0.6486486486486487,1.0,0.0012238209342580236,-0.0030553055376155588,0.005896200927056889,1.0,0.010711182600398468,0.007389623059209116,0.01384955210144122,1.0,0.004743680833070222,0.002562310722589921,0.006839405806103787,1.0
000300.SH,D,amount,4,up,low,low,22,0.023429179978700747,13,0.009130368220561782,False,0.4090909090909091,0.2,0.6190476190476191,1.0,0.000415821885405878,-0.005311165347616527,0.00787908823294138,1.0,0.011206257055160712,0.00792039449157513,0.01665879322688201,1.0,0.005395217584877417,0.0034469501158260227,0.007613035493872974,1.0
000300.SH,D,amount,5,up,low,high,99,0.10543130990415335,51,0.008492601510754287,True,0.48484848484848486,0.3977272727272727,0.5652173913043478,1.0,-5.246145107702113e-05,-0.002443301512653913,0.0022276824112644838,1.0,0.008697491620609213,0.007254675022132564,0.01069159354608577,1.0,0.004374976535843117,0.0032658554277319586,0.005862871769723898,1.0
000300.SH,D,amount,6,up,high,low,42,0.04472843450479233,26,0.011051008520636797,False,0.38095238095238093,0.22217514124293788,0.5714285714285714,1.0,-0.0019058010942559318,-0.006800403106458229,0.0023006834655211455,1.0,0.011776399931294389,0.009006061682721174,0.0154827729747545,1.0,0.00684110051277516,0.004128935855410977,0.010605054849913914,1.0
